fecha_operacion,operacion,importe,operacion_limpia,tipo,año_mes,categoria,origen
2025-04-22,"transferencia inmediata de evelymar bastidas rosario, concepto mobile april",15.0,transferencia inmediata de evelymar bastidas rosario concepto mobile april,ingreso,2025-04,Ingreso,manual
2025-04-22,"transferencia inmediata de evelymar bastidas rosario, concepto seguro medico may",75.0,transferencia inmediata de evelymar bastidas rosario concepto seguro medico may,ingreso,2025-04,Ingreso,manual
2025-04-22,"transferencia inmediata de evelymar bastidas rosario, concepto master 5/18meses",300.0,transferencia inmediata de evelymar bastidas rosario concepto master meses,ingreso,2025-04,Ingreso,manual
2025-04-21,"en heladeria quint, jinamar, . :*179057",10.6,en heladeria quint jinamar,gasto,2025-04,Restauración,manual
2025-04-21,bizum a favor de ruth santana gonzalez concepto: corte pelo,10.0,bizum a favor de ruth santana gonzalez concepto corte pelo,gasto,2025-04,Transferencia personal,manual
2025-04-21,"compra llaollao es las palmas, las palmas, eta 5489010358179057 , comision 0,00",4.4,compra llaollao es las palmas las palmas eta comision,gasto,2025-04,Restauración,manual
2025-04-21,"compra sumup *jve explotacio, las palmas de, eta 5489010358179057 , comision 0,00",20.3,compra sumup jve explotacio las palmas de eta comision,gasto,2025-04,Restauración,manual
2025-04-21,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",9.99,compra apple com bill eta comision,gasto,2025-04,Ocio / Suscripciones,manual
2025-04-21,"compra uber * eats pending, amsterdam, eta 5489010358179057 , comision 0,00",21.8,compra uber eats pending amsterdam eta comision,gasto,2025-04,Restauración,manual
2025-04-21,"compra playstation network, hilversum, eta 5489010358179057 , comision 0,00",44.99,compra playstation network hilversum eta comision,gasto,2025-04,Compras no esenciales,manual
2025-04-21,"en decathlon telde, telde, . :*179057",52.98,en decathlon telde telde,gasto,2025-04,Compras no esenciales,manual
2025-04-21,"en lidl can-gc-tel, llanos de la, . :*179057",52.13,en lidl can gc tel llanos de la,gasto,2025-04,Supermercado,manual
2025-04-21,"en aldi telde mele, telde, . :*179057",9.99,en aldi telde mele telde,gasto,2025-04,Supermercado,manual
2025-04-21,"en hd melenara, telde, . :*179057",105.04,en hd melenara telde,gasto,2025-04,Gastos extraordinarios,modelo
2025-04-21,"en poke poke, las palmas, . :*179057",10.95,en poke poke las palmas,gasto,2025-04,Restauración,manual
2025-04-17,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",4.99,compra apple com bill eta comision,gasto,2025-04,Ocio / Suscripciones,manual
2025-04-16,"en mercadona las t, hornos del re, . :*179057",7.27,en mercadona las t hornos del re,gasto,2025-04,Supermercado,manual
2025-04-16,"recibo vodafone factura: yj25-000670904/ nº recibo 0049 6140 755 bbggblm ref. mandato 0111207734, de",75.14,recibo vodafone factura yj nº recibo bbggblm ref mandato de,gasto,2025-04,Facturas,manual
2025-04-15,"en parking cajeros, telde, . :*179057",1.25,en parking cajeros telde,gasto,2025-04,Transporte,manual
2025-04-15,recibo banco bilbao vizcaya argentaria s.a. nº recibo 0049 6140 755 bbggbjp ref. mandato 91718303309,332.78,recibo banco bilbao vizcaya argentaria s a nº recibo bbggbjp ref mandato,gasto,2025-04,Gastos extraordinarios,manual
2025-04-15,"compra internet en repsol waylet, madrid, . :*179057",35.0,compra internet en repsol waylet madrid,gasto,2025-04,Transporte,manual
2025-04-14,"compra apple.com/bill, itunes.com, eta 5489010358179057 , comision 0,00",3.49,compra apple com bill itunes com eta comision,gasto,2025-04,Ocio / Suscripciones,manual
2025-04-14,"en fruta y verdura, valsequillo, . :*179057",12.19,en fruta y verdura valsequillo,gasto,2025-04,Restauración,modelo
2025-04-14,"en lidl can-gc-tel, telde, . :*179057",47.35,en lidl can gc tel telde,gasto,2025-04,Supermercado,manual
2025-04-14,"en e.s. las terraz, hornos del re, . :*179057",10.0,en e s las terraz hornos del re,gasto,2025-04,Supermercado,modelo
2025-04-14,"en kiwoko telde la, cruz de la ga, . :*179057",66.67,en kiwoko telde la cruz de la ga,gasto,2025-04,Compras no esenciales,manual
2025-04-14,"en domyhome, telde, . :*179057",1.5,en domyhome telde,gasto,2025-04,Supermercado,modelo
2025-04-09,"en picoteo s. migu, telde, . :*179057",22.0,en picoteo s migu telde,gasto,2025-04,Restauración,manual
